frame,time_sec,bright,contrast,sharp,coeff_cut
0,0.0,89.15657806396484,50.25106430053711,21.901667946480053,0.0
1,0.08,87.70701599121094,50.35813522338867,22.0423164964155,348.59387586805553
2,0.16,85.71251678466797,51.05892562866211,22.54069775704903,347.9452430555556
3,0.24,83.76342010498047,51.256649017333984,22.13348020581288,352.2412717013889
4,0.32,82.3613052368164,51.5301399230957,22.423659651196598,349.06757378472224
5,0.4,81.93704986572266,51.11071014404297,21.953823256212825,358.8590017361111
6,0.48,80.9744644165039,51.46312713623047,21.949036768953583,355.08931423611114
7,0.56,81.3663101196289,52.445919036865234,21.92483449865141,359.72684895833333
8,0.64,81.62725067138672,52.74789047241211,22.20101776539391,364.3998914930556
9,0.72,80.74810791015625,52.993839263916016,22.095336600268116,357.4927560763889
10,0.8,79.9106674194336,53.26039123535156,22.205606423037302,355.99782118055555
11,0.88,79.77310943603516,53.54817199707031,23.747065514697482,355.1250173611111
12,0.96,79.26499938964844,53.5042610168457,23.716590401868476,352.7804904513889
13,1.04,79.52338409423828,53.488433837890625,23.876231135169665,358.28629774305557
14,1.12,79.40670013427734,52.80438232421875,23.64803787331136,353.9111197916667
15,1.2,78.89081573486328,52.243900299072266,23.42568646716744,351.0135763888889
16,1.28,78.49515533447266,51.91310501098633,23.272886797757597,349.07964409722223
17,1.36,78.18616485595703,51.29197311401367,23.693567699264385,344.73110243055555
18,1.44,87.16045379638672,55.587989807128906,30.701092172238354,397.42978298611115
19,1.52,86.78296661376953,55.767337799072266,30.3171199751943,351.91704427083334
20,1.6,86.2608642578125,56.21403503417969,32.061885809954134,351.40953125
21,1.68,86.11062622070312,56.39730453491211,32.15468989925501,352.3183333333333
22,1.76,85.90022277832031,56.35103988647461,30.841634416396914,356.99277777777775
23,1.84,85.57699584960938,56.317527770996094,30.584788665096777,352.7397699652778
24,1.92,85.35403442382812,56.48066329956055,31.034572201356447,348.45375
25,2.0,84.99149322509766,56.8638916015625,31.10906754668926,346.47480468749995
26,2.08,84.16895294189453,56.76521682739258,30.697445468665084,343.84163194444443
27,2.16,83.50845336914062,57.25960922241211,32.227209766731015,344.18540364583333
28,2.24,83.15194702148438,57.35208511352539,30.953425835263012,342.0095442708333
29,2.32,82.5189208984375,57.450782775878906,30.685401667111783,334.5119965277778
30,2.4,81.74895477294922,57.720123291015625,31.829428564428603,327.5702647569444
31,2.48,81.16268920898438,57.612098693847656,31.062871793643488,336.1649609375
32,2.56,80.58609008789062,58.02960968017578,31.87513546348094,333.2183897569444
33,2.64,79.94535827636719,58.2342414855957,32.09579388050496,333.63842881944447
34,2.72,79.52972412109375,58.256072998046875,30.892029068544332,330.9471484375
35,2.8,79.24684143066406,58.32456588745117,30.54508011563453,331.572265625
36,2.88,78.87236022949219,58.42270278930664,30.079937198282522,323.9806423611111
37,2.96,78.37608337402344,58.398094177246094,29.358690388308062,325.81210069444444
38,3.04,77.562255859375,58.64305877685547,30.9222605514566,326.33236111111114
39,3.12,77.44120025634766,58.93712615966797,30.530039023976837,332.93312065972225
40,3.2,77.4967041015625,59.368106842041016,29.712868421242696,340.6786067708333
41,3.28,76.93208312988281,59.269832611083984,28.918361587691543,340.8518402777778
42,3.36,76.17070007324219,59.131256103515625,28.315674102613016,345.8131293402778
43,3.44,75.43243408203125,58.64564895629883,27.17694602861472,359.765859375
44,3.52,74.33047485351562,58.01288986206055,26.112488002289215,345.9683203125
45,3.6,73.35099029541016,57.35196304321289,24.51233839825597,338.11079427083337
46,3.68,72.03662872314453,56.95085906982422,23.442835704180656,338.08203125
47,3.76,71.34185028076172,57.09721755981445,22.368594468341374,335.2071614583333
48,3.84,70.84414672851562,57.543392181396484,20.872919886236446,335.6285677083333
49,3.92,70.204345703125,58.160362243652344,20.92656282006654,322.4736935763889
50,4.0,69.3990707397461,58.758201599121094,20.983251577708955,316.83112847222225
51,4.08,69.01624298095703,59.190467834472656,21.09153407973819,317.3985980902778
52,4.16,69.34221649169922,59.77159881591797,21.308812694669047,320.56829427083335
53,4.24,68.97570037841797,59.48100662231445,21.27667810247617,321.89453559027777
54,4.32,69.28191375732422,59.909183502197266,21.297981622028132,331.78838541666664
55,4.4,69.98372650146484,60.60841751098633,21.365644271588106,336.6182204861111
